x,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @STVGlasgow: BAE Systems put Î£200m Scotstoun warship factory plans to tender http://t.co/KUHpcmfyTH http://t.co/mz0IwjaPFm,FALSE,0,NA,2014-09-26 14:44,FALSE,NA,5.16E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,47,TRUE,FALSE,NA,NA
2,Scotland has voted for unity. Let's move forward together to achieve change for Scotland within the UK. #indyref http://t.co/nVpp9FX631,FALSE,1969,NA,2014-09-19 5:55,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,1675,FALSE,FALSE,NA,NA
3,.@blairmcdougall thanks supporters and staff at his speech at our event in Glasgow tonight #indyref http://t.co/DgQ3PnpbKS,FALSE,77,NA,2014-09-19 3:21,FALSE,NA,5.13E+17,NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",UK_Together,49,FALSE,FALSE,NA,NA
4,Thanks to everyone who has been out campaigning for us and for all the support across Scotland today. #indyref http://t.co/qhWRmuiWd1,FALSE,148,NA,2014-09-19 1:49,FALSE,NA,5.13E+17,NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",UK_Together,114,FALSE,FALSE,NA,NA
5,"PLS RT: 1 hour to go! If you haven't voted yet, please get to your polling station well before 10PM to vote NO. Every vote counts. #indyref",FALSE,153,NA,2014-09-18 20:05,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,344,FALSE,FALSE,NA,NA
6,PLEASE RETWEET: Polls close at 10PM. Go vote! #indyref http://t.co/zHwX24tUuH,FALSE,174,NA,2014-09-18 19:00,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,575,FALSE,FALSE,NA,NA
7,"RT @DanJarvisMP: House by house, street by street, we're turning out the #VoteNo in Coatbridge #LabourNo #bettertogether #indyref http://t._",FALSE,0,NA,2014-09-18 18:58,FALSE,NA,5.13E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,108,TRUE,FALSE,NA,NA
8,"RT @lauren_crilley: Proud to be Scottish, even prouder to be British, my first ever vote cast and I am glad it is a #nothanks #voteno http:_",FALSE,0,NA,2014-09-18 18:27,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,223,TRUE,FALSE,NA,NA
9,"RT @UKLabour: Four things under threat with a Yes vote:
Our jobs
Our currency
Our pensions
Our NHS
Keep Scotland strong - vote NO",FALSE,0,NA,2014-09-18 17:43,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,387,TRUE,FALSE,NA,NA
10,RT @EdinburghLabour: All of our volunteers joined by @Margaret_Curran for this afternoons doorknocking session #LabourNo http://t.co/H3i9FA_,FALSE,0,NA,2014-09-18 17:42,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,60,TRUE,FALSE,NA,NA
11,PLEASE SHARE: Former Prime Minister Gordon Brown calls on Scots to vote NO: http://t.co/QtEQAE8N1L #indyref,FALSE,101,NA,2014-09-18 17:15,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,230,FALSE,FALSE,NA,NA
12,RT @charlotte2153: Out with my union combabes in Falkirk #LabourNo #IndyRef #NoThanks http://t.co/KbW341Auoy,FALSE,0,NA,2014-09-18 16:01,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,56,TRUE,FALSE,NA,NA
13,RT @JenSmith2207: Do the right thing Scotland #voteno #nothanks @ Glasgow Scotland U.K. http://t.co/Ip4FIUrmbe,FALSE,0,NA,2014-09-18 15:58,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,49,TRUE,FALSE,NA,NA
14,RT @esbevong: After explaining what the referendum's about my 6 and 8 yr old girls insist on a #nothanks . The 6 thinks UK's' great http://_,FALSE,0,NA,2014-09-18 15:34,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,59,TRUE,FALSE,NA,NA
15,PLS RT: One of ScotlandÈs most successful women is clear  if we leave the UK there would be no going back #indyref http://t.co/CWe9etn0vu,FALSE,181,NA,2014-09-18 13:47,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,346,FALSE,FALSE,NA,NA
16,RT @floramccaul: Final door knocking session before the polls open! #voteno #no #indyref! #ilovegalashiels #alwaysingala http://t.co/XdjuoL_,FALSE,0,NA,2014-09-18 13:21,FALSE,NA,5.13E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,72,TRUE,FALSE,NA,NA
17,PLEASE RETWEET: Polls close at 10PM. Go vote! #indyref http://t.co/q44o75freq,FALSE,107,NA,2014-09-18 13:10,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,380,FALSE,FALSE,NA,NA
18,RT @thatlillovatic: #nothanks #bettertogether #indyreferendum #scottishindependence #ScotlandDecides #VoteNo http://t.co/RSpjvwDkXE,FALSE,0,NA,2014-09-18 12:53,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,51,TRUE,FALSE,NA,NA
19,RT @Littlespoon_86: Just been to vote to keep Scotland part of the UK I believe that's the best thing for my family's future! Í¾_Í_È #nothanks h_,FALSE,0,NA,2014-09-18 12:45,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,134,TRUE,FALSE,NA,NA
20,RT @RuthDavidsonMSP: Proud to have just cast my ballot to keep our messily wonderful country together. #NoThanks,FALSE,0,NA,2014-09-18 12:37,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,277,TRUE,FALSE,NA,NA
21,"RT @GabbyLogan: @KennyLogan hardly slept for weeks ahead of tomorrow, now pacing like expectant father, going to be a nervy 30 hours #refer_",FALSE,0,NA,2014-09-18 12:33,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,149,TRUE,FALSE,NA,NA
22,RT @LynseySharp: #Scottish #British #bettertogether http://t.co/EMjz2SS8HA,FALSE,0,NA,2014-09-18 12:30,FALSE,NA,5.13E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,1176,TRUE,FALSE,NA,NA
23,RT @C_Stihler_MEP: With mum and dad outside my old primary school in Cambusnethan @scottishlabour @EuroLabour @UK_Together http://t.co/pTZV_,FALSE,0,NA,2014-09-18 11:33,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,48,TRUE,FALSE,NA,NA
24,RT @AlessandroGZ: Cometh the day. All the signs say we're nearly there #nothanks #indyref http://t.co/Ncc1EVFIMc,FALSE,0,NA,2014-09-18 11:12,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,55,TRUE,FALSE,NA,NA
25,"RT @UKLabour: Glasgow, Stirling and Edinburgh say #NoThanks #indyref #LabourNo http://t.co/cXfbZ0pJir",FALSE,0,NA,2014-09-18 11:10,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,492,TRUE,FALSE,NA,NA
26,"Angela tells us that after looking at the facts, she believes there's no effective economic case for independence: http://t.co/oeu26aCPv4",FALSE,37,NA,2014-09-18 10:56,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,58,FALSE,FALSE,NA,NA
27,RT @Manuel_TSSA: No response from the First Minister on the impact on @TSSAunion members pensions - think carefully before you vote! http:/_,FALSE,0,NA,2014-09-18 10:17,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,51,TRUE,FALSE,NA,NA
28,RT @JohannLamont: Voted No for my family and with my family. Son cast his first vote today for a #LabourNo. #indyref http://t.co/lZHAtXhBPy,FALSE,0,NA,2014-09-18 10:16,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,234,TRUE,FALSE,NA,NA
29,"PLEASE RETWEET: Who do you trust to protect the NHS? Medical health experts, or Alex Salmond? Vote NO today. http://t.co/JS6jC37KgR",FALSE,211,NA,2014-09-18 9:50,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,590,FALSE,FALSE,NA,NA
30,Impartial experts say cuts worth half the NHS budget in Scotland would be needed if Scotland leaves the UK. VOTE NO. http://t.co/43qE2QI7o4,FALSE,59,NA,2014-09-18 9:14,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,149,FALSE,FALSE,NA,NA
31,In case you missed it: a LEAKED paper has exposed SNP NHS lies: http://t.co/IDLQj6YLb1 #indyref http://t.co/a1s7Z7mmfh,FALSE,123,NA,2014-09-18 8:17,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,284,FALSE,FALSE,NA,NA
32,Poll of doctors taken by respected BMJ show 60% are saying No Thanks to separation #indyref http://t.co/HHhcV57YUk,FALSE,136,NA,2014-09-18 7:40,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,264,FALSE,FALSE,NA,NA
33,"Now that polling stations are open, find out why Jane and Willie Munro are voting NO: http://t.co/bq6fxm4752 #indyref",FALSE,33,NA,2014-09-18 7:17,FALSE,NA,5.13E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,59,FALSE,FALSE,NA,NA
34,"PLEASE RETWEET: Today I've voted NO to get faster, better, safer change for Scotland. #indyref http://t.co/ErYVmfBLg2",FALSE,408,NA,2014-09-18 6:05,FALSE,NA,5.12E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK_Together,1090,FALSE,FALSE,NA,NA
35,RT @blairmcdougall: Great photos tonight. #nothanks #indyref http://t.co/5cxDTjmsNP,FALSE,0,NA,2014-09-17 22:23,FALSE,NA,5.12E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,390,TRUE,FALSE,NA,NA
36,"RT @WhiteHouse: The UK is an extraordinary partner for America and a force for good in an unstable world. I hope it remains strong, robust _",FALSE,0,NA,2014-09-17 19:39,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,5385,TRUE,FALSE,NA,NA
37,RT @mperfectLabour: Fab team out in Pollok on #indyref #LabourNo http://t.co/W49PgkjoOv,FALSE,0,NA,2014-09-17 16:12,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,50,TRUE,FALSE,NA,NA
38,RT @MichaelHYSC: Just some of our many thousands of volunteers out campaigning today #indyref #NoThanks http://t.co/9nqWFTu8GP,FALSE,0,NA,2014-09-17 16:12,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,45,TRUE,FALSE,NA,NA
39,"RT @CentralCLP: Great final day's campaigning, thanks to all our volunteers for helping in the final push for a #LabourNo! #indyref http://_",FALSE,0,NA,2014-09-17 16:11,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,30,TRUE,FALSE,NA,NA
40,RT @Craigmiller1986: Eve of poll and the support continues to grow in Clackmannanshire for the @UK_Together #nothanks team. http://t.co/Gs9_,FALSE,0,NA,2014-09-17 16:11,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,70,TRUE,FALSE,NA,NA
41,Watch and RT Gordon Brown's barnstorming speech at today's rally. #indyref http://t.co/lXdGhVq0Wf,FALSE,298,NA,2014-09-17 14:11,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,715,FALSE,FALSE,NA,NA
42,RT @blairmcdougall: Brilliant atmosphere at our Love Scotland Vote No Rally. #indyref http://t.co/ue5Nh9grFe,FALSE,0,NA,2014-09-17 10:31,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,229,TRUE,FALSE,NA,NA
43,RT @Gillian_Philip: Yay! RT @_LKFarnan: The @UK_Together  youth of Moray saying #nothanks with a selfie! http://t.co/4Kty1Oibb3,FALSE,0,NA,2014-09-17 9:30,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,66,TRUE,FALSE,NA,NA
44,PLEASE RETWEET: The polls open in less than 24 hours. Here's how I am voting... #indyref http://t.co/RPM7KD3vDp,FALSE,183,NA,2014-09-17 9:30,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,561,FALSE,FALSE,NA,NA
45,"Everyone, including senior academics, must be free to speak out about their concerns over separation http://t.co/SYLawqXqNn #indyref",FALSE,53,NA,2014-09-17 9:08,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,114,FALSE,FALSE,NA,NA
46,"RT @jk_rowling: Big day in Scotland tomorrow #indyref. My head says no and my heart shouts it - but whatever happens, I hope we're all frie_",FALSE,0,NA,2014-09-17 8:32,FALSE,NA,5.12E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,4730,TRUE,FALSE,NA,NA
47,'There's no question that the way we are currently is best for business.' - Sir Tom Hunter http://t.co/rTIsYeBhjW #indyref,FALSE,60,NA,2014-09-17 7:36,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,135,FALSE,FALSE,NA,NA
48,RT @rachellybee: More @UK_Together teams heading out to talk to even more voters in Leith. #nothanks #indyref http://t.co/C8fKMFKDnl,FALSE,0,NA,2014-09-16 21:02,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,57,TRUE,FALSE,NA,NA
49,RT @pipweaver: @pipweaver Great doorknocking session in Dundee with loads of people saying #nothanks to YES's  NHS lies #indyref http://t.c_,FALSE,0,NA,2014-09-16 21:01,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,54,TRUE,FALSE,NA,NA
50,RT @richardtullett: What a great team at our #indyref activist briefing in #Rutherglen tonight. @UK_Together http://t.co/1w0xDvfdVM,FALSE,0,NA,2014-09-16 21:01,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,49,TRUE,FALSE,NA,NA
51,"RT @ThomasKerr1: Fantastic day out in the East End, Amazing response with a massive majority sayin' #NoThanks to separation #indyref http:/_",FALSE,0,NA,2014-09-16 21:01,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,49,TRUE,FALSE,NA,NA
52,"Bill Clinton backs NO saying we can inspire the world with ""a powerful message of both identity &amp; inclusion"" #indyref http://t.co/kO3Wvskp3S",FALSE,307,NA,2014-09-16 20:46,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,620,FALSE,FALSE,NA,NA
53,REVEALED: Explosive LEAKED paper exposes SNP NHS lies http://t.co/Vtv5nhfyKb &lt;&lt;" Read full paper here #indyref http://t.co/Xli0ucRBz0,FALSE,150,NA,2014-09-16 17:30,FALSE,NA,5.12E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,351,FALSE,FALSE,NA,NA
54,RT @melanie_ward: Out &amp; about in Glenrothes meeting lots of previously undecided people now voting #nothanks on Thursday #LabourNo http://t_,FALSE,0,NA,2014-09-16 14:32,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,56,TRUE,FALSE,NA,NA
55,RT @PaulMartinMSP: Lots of people saying #nothanks to separation when #LabourNo team was in Easterhouse last night. #indyref http://t.co/Kz_,FALSE,0,NA,2014-09-16 14:32,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,48,TRUE,FALSE,NA,NA
56,The SNP have tried to hide Î_ billion pounds of NHS cuts until after the referendum. It is not on. #indyref http://t.co/znJLeHfAeC,FALSE,209,NA,2014-09-16 13:24,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,541,FALSE,FALSE,NA,NA
57,RT @TheSunNewspaper: The Sun says... http://t.co/dguVDWDEnP,FALSE,0,NA,2014-09-16 13:12,FALSE,NA,5.12E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UK_Together,161,TRUE,FALSE,NA,NA
58,Pls RT: Alex Salmond has tried to keep 1/2 bn pounds worth of NHS cuts a secret until after the referendum. #indyref http://t.co/cbwzOJuONW,FALSE,220,NA,2014-09-16 9:36,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,822,FALSE,FALSE,NA,NA
59,The Herald becomes the latest Scottish newspaper to back a No Vote. http://t.co/6bbWQdCQNZ #indyref,FALSE,106,NA,2014-09-16 9:16,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,204,FALSE,FALSE,NA,NA
60,Brilliant rally in Edinburgh this morning with @DAlexanderMP. Vote No on Thursday to protect Scottish jobs #indyref http://t.co/NZlu4vAJNA,FALSE,156,NA,2014-09-16 9:00,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,257,FALSE,FALSE,NA,NA
61,"A NHS whistle blower has blown apart the SNP's lies on our NHS. Read more here...
http://t.co/AQAd2AAlsn #indyref",FALSE,78,NA,2014-09-16 8:32,FALSE,NA,5.12E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",UK_Together,221,FALSE,FALSE,NA,NA
