book,poem,line_n,stanza_n,text
SONGS OF EXPERIENCE,EARTH’S ANSWER,20,4,"‘Break this heavy chain,"
SONGS OF EXPERIENCE,EARTH’S ANSWER,21,4,That does freeze my bones around!
SONGS OF EXPERIENCE,EARTH’S ANSWER,22,4,"Selfish, vain,"
SONGS OF EXPERIENCE,EARTH’S ANSWER,23,4,"Eternal bane,"
SONGS OF EXPERIENCE,EARTH’S ANSWER,24,4,That free love with bondage bound.’
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,0,0,"‘Love seeketh not itself to please,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,1,0,"Nor for itself hath any care,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,2,0,"But for another gives its ease,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,3,0,And builds a heaven in hell’s despair.’
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,4,1,"So sung a little clod of clay,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,5,1,"Trodden with the cattle’s feet,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,6,1,But a pebble of the brook
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,7,1,Warbled out these metres meet:
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,8,2,"‘Love seeketh only Self to please,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,9,2,"To bind another to its delight,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,10,2,"Joys in another’s loss of ease,"
SONGS OF EXPERIENCE,THE CLOD AND THE PEBBLE,11,2,And builds a hell in heaven’s despite.’
SONGS OF EXPERIENCE,HOLY THURSDAY,0,0,Is this a holy thing to see
SONGS OF EXPERIENCE,HOLY THURSDAY,1,0,"In a rich and fruitful land,—"
SONGS OF EXPERIENCE,HOLY THURSDAY,2,0,"Babes reduced to misery,"
SONGS OF EXPERIENCE,HOLY THURSDAY,3,0,Fed with cold and usurous hand?
SONGS OF EXPERIENCE,HOLY THURSDAY,4,1,Is that trembling cry a song?
SONGS OF EXPERIENCE,HOLY THURSDAY,5,1,Can it be a song of joy?
SONGS OF EXPERIENCE,HOLY THURSDAY,6,1,And so many children poor?
SONGS OF EXPERIENCE,HOLY THURSDAY,7,1,It is a land of poverty!
SONGS OF EXPERIENCE,HOLY THURSDAY,8,2,"And their sun does never shine,"
SONGS OF EXPERIENCE,HOLY THURSDAY,9,2,"And their fields are bleak and bare,"
SONGS OF EXPERIENCE,HOLY THURSDAY,10,2,"And their ways are filled with thorns,"
SONGS OF EXPERIENCE,HOLY THURSDAY,11,2,It is eternal winter there.
SONGS OF EXPERIENCE,HOLY THURSDAY,12,3,"For where’er the sun does shine,"
SONGS OF EXPERIENCE,HOLY THURSDAY,13,3,"And where’er the rain does fall,"
SONGS OF EXPERIENCE,HOLY THURSDAY,14,3,"Babe can never hunger there,"
SONGS OF EXPERIENCE,HOLY THURSDAY,15,3,Nor poverty the mind appal.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,0,0,In futurity
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,1,0,I prophesy
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,2,0,That the earth from sleep
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,3,0,(Grave the sentence deep)
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,4,1,"Shall arise, and seek"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,5,1,For her Maker meek;
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,6,1,And the desert wild
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,7,1,Become a garden mild.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,8,2,"In the southern clime,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,9,2,Where the summer’s prime
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,10,2,"Never fades away,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,11,2,Lovely Lyca lay.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,12,3,Seven summers old
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,13,3,Lovely Lyca told.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,14,3,"She had wandered long,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,15,3,Hearing wild birds’ song.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,16,4,"‘Sweet sleep, come to me,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,17,4,Underneath this tree;
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,18,4,"Do father, mother, weep?"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,19,4,Where can Lyca sleep?
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,20,5,‘Lost in desert wild
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,21,5,Is your little child.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,22,5,How can Lyca sleep
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,23,5,If her mother weep?
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,24,6,"‘If her heart does ache,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,25,6,Then let Lyca wake;
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,26,6,"If my mother sleep,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,27,6,Lyca shall not weep.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,28,7,"‘Frowning, frowning night,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,29,7,O’er this desert bright
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,30,7,"Let thy moon arise,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,31,7,While I close my eyes.’
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,32,8,"Sleeping Lyca lay,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,33,8,"While the beasts of prey,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,34,8,"Come from caverns deep,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,35,8,Viewed the maid asleep.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,36,9,"The kingly lion stood,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,37,9,And the virgin viewed:
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,38,9,Then he gambolled round
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,39,9,O’er the hallowed ground.
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,40,10,"Leopards, tigers, play"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,41,10,Round her as she lay;
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,42,10,While the lion old
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,43,10,"Bowed his mane of gold,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,44,11,"And her bosom lick,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,45,11,"And upon her neck,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,46,11,"From his eyes of flame,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,47,11,Ruby tears there came;
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,48,12,While the lioness
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,49,12,"Loosed her slender dress,"
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,50,12,And naked they conveyed
SONGS OF EXPERIENCE,THE LITTLE GIRL LOST,51,12,To caves the sleeping maid.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,0,0,All the night in woe
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,1,0,Lyca’s parents go
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,2,0,"Over valleys deep,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,3,0,While the deserts weep.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,4,1,"Tired and woe-begone,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,5,1,"Hoarse with making moan,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,6,1,"Arm in arm, seven days"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,7,1,They traced the desert ways.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,8,2,Seven nights they sleep
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,9,2,"Among shadows deep,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,10,2,And dream they see their child
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,11,2,Starved in desert wild.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,12,3,Pale through pathless ways
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,13,3,"The fancied image strays,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,14,3,"Famished, weeping, weak,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,15,3,With hollow piteous shriek.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,16,4,"Rising from unrest,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,17,4,The trembling woman pressed
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,18,4,With feet of weary woe;
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,19,4,She could no further go.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,20,5,In his arms he bore
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,21,5,"Her, armed with sorrow sore;"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,22,5,Till before their way
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,23,5,A couching lion lay.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,24,6,Turning back was vain:
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,25,6,Soon his heavy mane
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,26,6,"Bore them to the ground,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,27,6,"Then he stalked around,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,28,7,Smelling to his prey;
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,29,7,But their fears allay
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,30,7,"When he licks their hands,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,31,7,And silent by them stands.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,32,8,"They look upon his eyes,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,33,8,Filled with deep surprise;
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,34,8,And wondering behold
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,35,8,A spirit armed in gold.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,36,9,"On his head a crown,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,37,9,On his shoulders down
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,38,9,Flowed his golden hair.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,39,9,Gone was all their care.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,40,10,"‘Follow me,’ he said;"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,41,10,‘Weep not for the maid;
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,42,10,"In my palace deep,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,43,10,Lyca lies asleep.’
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,44,11,Then they followèd
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,45,11,"Where the vision led,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,46,11,And saw their sleeping child
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,47,11,Among tigers wild.
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,48,12,To this day they dwell
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,49,12,"In a lonely dell,"
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,50,12,Nor fear the wolvish howl
SONGS OF EXPERIENCE,THE LITTLE GIRL FOUND,51,12,Nor the lion’s growl.
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,0,0,"A little black thing among the snow,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,1,0,Crying! ‘weep! weep!’ in notes of woe!
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,2,0,‘Where are thy father and mother? Say!’—
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,3,0,‘They are both gone up to the church to pray.
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,4,1,"‘Because I was happy upon the heath,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,5,1,"And smiled among the winter’s snow,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,6,1,"They clothed me in the clothes of death,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,7,1,And taught me to sing the notes of woe.
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,8,2,"‘And because I am happy and dance and sing,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,9,2,"They think they have done me no injury,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,10,2,"And are gone to praise God and His priest and king,"
SONGS OF EXPERIENCE,THE CHIMNEY-SWEEPER,11,2,Who made up a heaven of our misery.’
SONGS OF EXPERIENCE,NURSE’S SONG,0,0,"When the voices of children are heard on the green,"
SONGS OF EXPERIENCE,NURSE’S SONG,1,0,"And whisperings are in the dale,"
SONGS OF EXPERIENCE,NURSE’S SONG,2,0,"The days of my youth rise fresh in my mind,"
SONGS OF EXPERIENCE,NURSE’S SONG,3,0,My face turns green and pale.
SONGS OF EXPERIENCE,NURSE’S SONG,4,1,"Then come home, my children, the sun is gone down,"
SONGS OF EXPERIENCE,NURSE’S SONG,5,1,And the dews of night arise;
SONGS OF EXPERIENCE,NURSE’S SONG,6,1,"Your spring and your day are wasted in play,"
SONGS OF EXPERIENCE,NURSE’S SONG,7,1,And your winter and night in disguise.
SONGS OF EXPERIENCE,THE SICK ROSE,0,0,"O rose, thou art sick!"
SONGS OF EXPERIENCE,THE SICK ROSE,1,0,"The invisible worm,"
SONGS OF EXPERIENCE,THE SICK ROSE,2,0,"That flies in the night,"
SONGS OF EXPERIENCE,THE SICK ROSE,3,0,"In the howling storm,"
SONGS OF EXPERIENCE,THE SICK ROSE,4,1,Has found out thy bed
SONGS OF EXPERIENCE,THE SICK ROSE,5,1,"Of crimson joy,"
SONGS OF EXPERIENCE,THE SICK ROSE,6,1,And his dark secret love
SONGS OF EXPERIENCE,THE SICK ROSE,7,1,Does thy life destroy.
SONGS OF EXPERIENCE,THE FLY,0,0,"Little Fly,"
SONGS OF EXPERIENCE,THE FLY,1,0,Thy summer’s play
SONGS OF EXPERIENCE,THE FLY,2,0,My thoughtless hand
SONGS OF EXPERIENCE,THE FLY,3,0,Has brushed away.
SONGS OF EXPERIENCE,THE FLY,4,1,Am not I
SONGS OF EXPERIENCE,THE FLY,5,1,A fly like thee?
SONGS OF EXPERIENCE,THE FLY,6,1,Or art not thou
SONGS OF EXPERIENCE,THE FLY,7,1,A man like me?
SONGS OF EXPERIENCE,THE FLY,8,2,"For I dance,"
SONGS OF EXPERIENCE,THE FLY,9,2,"And drink, and sing,"
SONGS OF EXPERIENCE,THE FLY,10,2,Till some blind hand
SONGS OF EXPERIENCE,THE FLY,11,2,Shall brush my wing.
SONGS OF EXPERIENCE,THE FLY,12,3,If thought is life
SONGS OF EXPERIENCE,THE FLY,13,3,"And strength and breath,"
SONGS OF EXPERIENCE,THE FLY,14,3,And the want
SONGS OF EXPERIENCE,THE FLY,15,3,Of thought is death;
SONGS OF EXPERIENCE,THE FLY,16,4,Then am I
SONGS OF EXPERIENCE,THE FLY,17,4,A happy fly.
SONGS OF EXPERIENCE,THE FLY,18,4,"If I live,"
SONGS OF EXPERIENCE,THE FLY,19,4,Or if I die.
SONGS OF EXPERIENCE,THE ANGEL,0,0,I dreamt a dream!  What can it mean?
SONGS OF EXPERIENCE,THE ANGEL,1,0,And that I was a maiden Queen
SONGS OF EXPERIENCE,THE ANGEL,2,0,Guarded by an Angel mild:
SONGS OF EXPERIENCE,THE ANGEL,3,0,Witless woe was ne’er beguiled!
SONGS OF EXPERIENCE,THE ANGEL,4,1,"And I wept both night and day,"
SONGS OF EXPERIENCE,THE ANGEL,5,1,And he wiped my tears away;
SONGS OF EXPERIENCE,THE ANGEL,6,1,"And I wept both day and night,"
SONGS OF EXPERIENCE,THE ANGEL,7,1,And hid from him my heart’s delight.
SONGS OF EXPERIENCE,THE ANGEL,8,2,"So he took his wings, and fled;"
SONGS OF EXPERIENCE,THE ANGEL,9,2,Then the morn blushed rosy red.
SONGS OF EXPERIENCE,THE ANGEL,10,2,"I dried my tears, and armed my fears"
SONGS OF EXPERIENCE,THE ANGEL,11,2,With ten thousand shields and spears.
SONGS OF EXPERIENCE,THE ANGEL,12,3,Soon my Angel came again;
SONGS OF EXPERIENCE,THE ANGEL,13,3,"I was armed, he came in vain;"
SONGS OF EXPERIENCE,THE ANGEL,14,3,"For the time of youth was fled,"
SONGS OF EXPERIENCE,THE ANGEL,15,3,And grey hairs were on my head.
SONGS OF EXPERIENCE,THE TIGER,0,0,"Tiger, tiger, burning bright"
SONGS OF EXPERIENCE,THE TIGER,1,0,"In the forests of the night,"
SONGS OF EXPERIENCE,THE TIGER,2,0,What immortal hand or eye
SONGS OF EXPERIENCE,THE TIGER,3,0,Could frame thy fearful symmetry?
SONGS OF EXPERIENCE,THE TIGER,4,1,In what distant deeps or skies
SONGS OF EXPERIENCE,THE TIGER,5,1,Burnt the fire of thine eyes?
SONGS OF EXPERIENCE,THE TIGER,6,1,On what wings dare he aspire?
SONGS OF EXPERIENCE,THE TIGER,7,1,What the hand dare seize the fire?
SONGS OF EXPERIENCE,THE TIGER,8,2,And what shoulder and what art
SONGS OF EXPERIENCE,THE TIGER,9,2,Could twist the sinews of thy heart?
SONGS OF EXPERIENCE,THE TIGER,10,2,"And, when thy heart began to beat,"
SONGS OF EXPERIENCE,THE TIGER,11,2,What dread hand and what dread feet?
SONGS OF EXPERIENCE,THE TIGER,12,3,What the hammer? what the chain?
SONGS OF EXPERIENCE,THE TIGER,13,3,In what furnace was thy brain?
SONGS OF EXPERIENCE,THE TIGER,14,3,What the anvil? what dread grasp
SONGS OF EXPERIENCE,THE TIGER,15,3,Dare its deadly terrors clasp?
SONGS OF EXPERIENCE,THE TIGER,16,4,"When the stars threw down their spears,"
SONGS OF EXPERIENCE,THE TIGER,17,4,"And watered heaven with their tears,"
SONGS OF EXPERIENCE,THE TIGER,18,4,Did He smile His work to see?
SONGS OF EXPERIENCE,THE TIGER,19,4,Did He who made the lamb make thee?
SONGS OF EXPERIENCE,THE TIGER,20,5,"Tiger, tiger, burning bright"
SONGS OF EXPERIENCE,THE TIGER,21,5,"In the forests of the night,"
SONGS OF EXPERIENCE,THE TIGER,22,5,What immortal hand or eye
SONGS OF EXPERIENCE,THE TIGER,23,5,Dare frame thy fearful symmetry?
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,0,0,"A flower was offered to me,"
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,1,0,Such a flower as May never bore;
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,2,0,"But I said, ‘I’ve a pretty rose tree,’"
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,3,0,And I passed the sweet flower o’er.
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,4,1,"Then I went to my pretty rose tree,"
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,5,1,To tend her by day and by night;
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,6,1,"But my rose turned away with jealousy,"
SONGS OF EXPERIENCE,MY PRETTY ROSE TREE,7,1,And her thorns were my only delight.
SONGS OF EXPERIENCE,"AH, SUNFLOWER",0,0,"Ah, sunflower, weary of time,"
SONGS OF EXPERIENCE,"AH, SUNFLOWER",1,0,Who countest the steps of the sun;
SONGS OF EXPERIENCE,"AH, SUNFLOWER",2,0,Seeking after that sweet golden clime
SONGS OF EXPERIENCE,"AH, SUNFLOWER",3,0,Where the traveller’s journey is done;
SONGS OF EXPERIENCE,"AH, SUNFLOWER",4,1,"Where the Youth pined away with desire,"
SONGS OF EXPERIENCE,"AH, SUNFLOWER",5,1,"And the pale virgin shrouded in snow,"
SONGS OF EXPERIENCE,"AH, SUNFLOWER",6,1,"Arise from their graves, and aspire"
SONGS OF EXPERIENCE,"AH, SUNFLOWER",7,1,Where my Sunflower wishes to go!
SONGS OF EXPERIENCE,THE LILY,0,0,"The modest Rose puts forth a thorn,"
SONGS OF EXPERIENCE,THE LILY,1,0,The humble sheep a threat’ning horn:
SONGS OF EXPERIENCE,THE LILY,2,0,"While the Lily white shall in love delight,"
SONGS OF EXPERIENCE,THE LILY,3,0,Nor a thorn nor a threat stain her beauty bright.
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,0,0,"I went to the Garden of Love,"
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,1,0,And saw what I never had seen;
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,2,0,"A Chapel was built in the midst,"
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,3,0,Where I used to play on the green.
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,4,1,"And the gates of this Chapel were shut,"
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,5,1,And ‘Thou shalt not’ writ over the door;
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,6,1,So I turned to the Garden of Love
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,7,1,That so many sweet flowers bore.
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,8,2,"And I saw it was filled with graves,"
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,9,2,And tombstones where flowers should be;
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,10,2,"And priests in black gowns were walking their rounds,"
SONGS OF EXPERIENCE,THE GARDEN OF LOVE,11,2,And binding with briars my joys and desires.
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,0,0,"Dear mother, dear mother, the Church is cold;"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,1,0,"But the Alehouse is healthy, and pleasant, and warm."
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,2,0,"Besides, I can tell where I am used well;"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,3,0,Such usage in heaven will never do well.
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,4,1,"But, if at the Church they would give us some ale,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,5,1,"And a pleasant fire our souls to regale,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,6,1,"We’d sing and we’d pray all the livelong day,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,7,1,Nor ever once wish from the Church to stray.
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,8,2,"Then the Parson might preach, and drink, and sing,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,9,2,And we’d be as happy as birds in the spring;
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,10,2,"And modest Dame Lurch, who is always at church,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,11,2,"Would not have bandy children, nor fasting, nor birch."
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,12,3,"And God, like a father, rejoicing to see"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,13,3,"His children as pleasant and happy as He,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,14,3,"Would have no more quarrel with the Devil or the barrel,"
SONGS OF EXPERIENCE,THE LITTLE VAGABOND,15,3,"But kiss him, and give him both drink and apparel."
SONGS OF EXPERIENCE,LONDON,0,0,"I wander through each chartered street,"
SONGS OF EXPERIENCE,LONDON,1,0,"Near where the chartered Thames does flow,"
SONGS OF EXPERIENCE,LONDON,2,0,"A mark in every face I meet,"
SONGS OF EXPERIENCE,LONDON,3,0,"Marks of weakness, marks of woe."
SONGS OF EXPERIENCE,LONDON,4,1,"In every cry of every man,"
SONGS OF EXPERIENCE,LONDON,5,1,"In every infant’s cry of fear,"
SONGS OF EXPERIENCE,LONDON,6,1,"In every voice, in every ban,"
SONGS OF EXPERIENCE,LONDON,7,1,The mind-forged manacles I hear:
SONGS OF EXPERIENCE,LONDON,8,2,How the chimney-sweeper’s cry
SONGS OF EXPERIENCE,LONDON,9,2,"Every blackening church appals,"
SONGS OF EXPERIENCE,LONDON,10,2,And the hapless soldier’s sigh
SONGS OF EXPERIENCE,LONDON,11,2,Runs in blood down palace-walls.
SONGS OF EXPERIENCE,LONDON,12,3,"But most, through midnight streets I hear"
SONGS OF EXPERIENCE,LONDON,13,3,How the youthful harlot’s curse
SONGS OF EXPERIENCE,LONDON,14,3,"Blasts the new-born infant’s tear,"
SONGS OF EXPERIENCE,LONDON,15,3,And blights with plagues the marriage hearse.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,0,0,Pity would be no more
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,1,0,"If we did not make somebody poor,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,2,0,And Mercy no more could be
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,3,0,If all were as happy as we.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,4,1,"And mutual fear brings Peace,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,5,1,Till the selfish loves increase;
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,6,1,"Then Cruelty knits a snare,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,7,1,And spreads his baits with care.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,8,2,"He sits down with holy fears,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,9,2,And waters the ground with tears;
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,10,2,Then Humility takes its root
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,11,2,Underneath his foot.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,12,3,Soon spreads the dismal shade
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,13,3,"Of Mystery over his head,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,14,3,And the caterpillar and fly
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,15,3,Feed on the Mystery.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,16,4,"And it bears the fruit of Deceit,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,17,4,"Ruddy and sweet to eat,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,18,4,And the raven his nest has made
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,19,4,In its thickest shade.
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,20,5,The gods of the earth and sea
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,21,5,"Sought through nature to find this tree,"
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,22,5,But their search was all in vain:
SONGS OF EXPERIENCE,THE HUMAN ABSTRACT,23,5,There grows one in the human Brain.
SONGS OF EXPERIENCE,INFANT SORROW,0,0,"My mother groaned, my father wept:"
SONGS OF EXPERIENCE,INFANT SORROW,1,0,"Into the dangerous world I leapt,"
SONGS OF EXPERIENCE,INFANT SORROW,2,0,"Helpless, naked, piping loud,"
SONGS OF EXPERIENCE,INFANT SORROW,3,0,Like a fiend hid in a cloud.
SONGS OF EXPERIENCE,INFANT SORROW,4,1,"Struggling in my father’s hands,"
